epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1726.41,1.12256,1.27445,0.96997,1.12443,0.85752,0.75593,0.86342,0.57909,0.85444,0.75675,0.86,0.47406,0.99599,0.98714,0.84928,1.08506,0.00147226,0.00147226,0.00147226
61,1754.24,1.03871,1.19111,0.85883,1.11366,0.82969,0.80405,0.8849,0.61831,0.83056,0.79782,0.86738,0.46234,0.92678,0.97662,0.84471,1.04383,0.00146896,0.00146896,0.00146896
62,1782.89,1.04962,1.20442,0.86704,1.13817,0.81635,0.8233,0.89822,0.60934,0.81058,0.81781,0.88983,0.50501,1.00843,0.90214,0.81708,1.06292,0.00146566,0.00146566,0.00146566
63,1811.92,1.09589,1.22901,0.86083,1.14871,0.83429,0.8243,0.89188,0.61462,0.85041,0.81922,0.89671,0.5113,0.96576,0.87988,0.82214,1.04524,0.00146236,0.00146236,0.00146236
64,1839.38,1.0574,1.23291,0.87624,1.11279,0.83852,0.84603,0.91734,0.64471,0.83981,0.84601,0.92404,0.54158,0.8843,0.89389,0.74235,1.02804,0.00145906,0.00145906,0.00145906
65,1866.49,1.03699,1.28598,0.90087,1.12558,0.79779,0.86196,0.86769,0.61901,0.81654,0.86828,0.88672,0.50695,0.9137,0.89365,0.76531,1.00712,0.00145576,0.00145576,0.00145576
66,1893.22,1.0194,1.19563,0.85759,1.09942,0.84524,0.83449,0.9024,0.62901,0.8714,0.80788,0.90343,0.52524,0.998,0.88711,0.75916,1.09835,0.00145246,0.00145246,0.00145246
67,1920.03,1.04016,1.21615,0.82059,1.0953,0.88529,0.83589,0.91761,0.65885,0.88166,0.83222,0.91241,0.53357,0.86431,0.90587,0.70596,1.00883,0.00144916,0.00144916,0.00144916
68,1946.67,0.98787,1.16008,0.81624,1.09634,0.83413,0.89032,0.92374,0.64817,0.83834,0.88113,0.92029,0.52266,0.92109,0.90518,0.73001,1.03766,0.00144586,0.00144586,0.00144586
69,1974.92,1.00197,1.16106,1.05286,1.09076,0.83368,0.85382,0.90082,0.62728,0.8311,0.85018,0.89742,0.51459,0.88223,0.90224,0.71845,1.01429,0.00144256,0.00144256,0.00144256
70,2001.28,1.03023,1.22187,0.84914,1.1055,0.86217,0.8245,0.91474,0.6632,0.84854,0.81168,0.89209,0.52879,0.88011,0.88727,0.74423,1.00589,0.00143925,0.00143925,0.00143925
71,2031.44,1.00949,1.2346,0.88382,1.11164,0.83286,0.8746,0.91496,0.6538,0.82546,0.86845,0.90184,0.523,0.83649,0.89738,0.73861,0.99015,0.00143595,0.00143595,0.00143595
72,2059.3,0.99817,1.20426,0.82217,1.10211,0.83092,0.88521,0.92997,0.67371,0.82178,0.87746,0.9181,0.53416,0.84472,0.86759,0.70327,0.99838,0.00143265,0.00143265,0.00143265
73,2086.69,0.99954,1.21754,0.84713,1.09708,0.83838,0.81426,0.90562,0.62455,0.85555,0.80347,0.89847,0.50793,0.98755,0.89092,0.8186,1.07878,0.00142935,0.00142935,0.00142935
74,2125.16,1.01913,1.2029,0.82922,1.08438,0.85532,0.88816,0.93196,0.66138,0.84385,0.8751,0.92273,0.54378,0.85417,0.88603,0.67473,0.99844,0.00142605,0.00142605,0.00142605
75,2150.86,0.96172,1.21132,0.86205,1.08027,0.80618,0.87687,0.93701,0.66563,0.81457,0.88329,0.93986,0.54617,0.85301,0.86468,0.68887,1.00879,0.00142275,0.00142275,0.00142275
76,2177.28,0.96183,1.11366,0.74791,1.06732,0.89348,0.83802,0.91769,0.66999,0.88808,0.83009,0.90908,0.54914,0.84606,0.86162,0.68261,0.98824,0.00141945,0.00141945,0.00141945
77,2203.33,1.01081,1.16954,0.77009,1.13935,0.86898,0.8816,0.93804,0.68478,0.86522,0.87792,0.92943,0.55338,0.82801,0.8504,0.66308,0.99712,0.00141615,0.00141615,0.00141615
78,2229.9,0.96477,1.21051,0.80964,1.07897,0.86656,0.88667,0.94454,0.68181,0.82671,0.90288,0.92645,0.54496,0.85826,0.87299,0.65824,1.00213,0.00141285,0.00141285,0.00141285
79,2257.9,0.95706,1.17875,0.7653,1.07449,0.85831,0.87405,0.9326,0.67109,0.85102,0.86672,0.92101,0.53382,0.83241,0.92325,0.64566,0.97818,0.00140955,0.00140955,0.00140955
80,2284.37,1.01799,1.14443,0.83252,1.13975,0.90547,0.88882,0.95407,0.66963,0.89872,0.8982,0.95241,0.56449,0.86712,0.84249,0.6536,0.99552,0.00140625,0.00140625,0.00140625
81,2310.75,0.96741,1.08734,0.83787,1.06869,0.90286,0.89737,0.96558,0.69907,0.90386,0.89217,0.96247,0.5758,0.85623,0.83586,0.6316,1.01393,0.00140295,0.00140295,0.00140295
82,2338.15,1.03528,1.21285,0.81236,1.10129,0.87907,0.79464,0.91444,0.65896,0.86943,0.79681,0.91259,0.53306,0.86988,0.86893,0.73486,0.99861,0.00139965,0.00139965,0.00139965
83,2364.96,0.93921,1.19704,0.78252,1.08672,0.854,0.86918,0.94556,0.70395,0.86073,0.86667,0.94314,0.58208,0.82139,0.82973,0.66784,0.97085,0.00139635,0.00139635,0.00139635
84,2391.2,0.9768,1.17067,0.77326,1.07309,0.83376,0.89776,0.90715,0.67091,0.83887,0.87485,0.90711,0.54255,0.855,0.85529,0.70346,0.99759,0.00139305,0.00139305,0.00139305
85,2417.61,0.97349,1.17399,0.82036,1.07613,0.90691,0.88369,0.95324,0.7038,0.91234,0.88863,0.95433,0.59107,0.85783,0.82206,0.65904,0.9987,0.00138974,0.00138974,0.00138974
86,2444.65,0.9498,1.18062,0.7718,1.06319,0.88533,0.91804,0.95656,0.7178,0.88246,0.91274,0.95534,0.5959,0.81175,0.8056,0.60582,0.9643,0.00138644,0.00138644,0.00138644
