epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,765.994,1.01988,1.21364,0.80079,1.10496,0.73172,0.67438,0.76173,0.44067,0.73172,0.67438,0.76003,0.37587,1.5994,1.48283,1.07364,1.51455,0.0011719,0.0011719,0.0011719
62,776.641,0.99503,1.202,0.77345,1.07552,0.70828,0.68875,0.70038,0.4008,0.67539,0.67138,0.68138,0.33426,1.4288,1.41604,1.04239,1.56051,0.00116365,0.00116365,0.00116365
63,787.964,0.998,1.16022,0.76996,1.05067,0.80098,0.57501,0.67571,0.39022,0.62751,0.7314,0.64495,0.32616,1.72558,1.53494,1.29125,1.77048,0.0011554,0.0011554,0.0011554
64,798.28,0.94527,1.18419,0.77269,1.04466,0.62552,0.68814,0.69254,0.39124,0.62103,0.67937,0.65623,0.33771,1.58587,1.55503,1.20881,1.49813,0.00114715,0.00114715,0.00114715
65,808.817,0.99714,1.20604,0.74895,1.06089,0.65,0.66213,0.69194,0.4074,0.63011,0.75029,0.72457,0.35527,1.38349,1.5327,1.12924,1.32893,0.00113889,0.00113889,0.00113889
66,820.884,1.02214,1.21299,0.77399,1.07768,0.73117,0.57562,0.672,0.3991,0.77078,0.5862,0.69968,0.35004,1.50526,1.65629,1.25381,1.36757,0.00113064,0.00113064,0.00113064
67,830.547,0.96797,1.19577,0.75099,1.05123,0.60103,0.69722,0.70698,0.41785,0.73517,0.63642,0.71672,0.35819,1.41673,1.60206,1.05194,1.38355,0.00112239,0.00112239,0.00112239
68,841.202,0.97504,1.13994,0.76408,1.05066,0.7002,0.62541,0.69057,0.40366,0.72129,0.62936,0.70447,0.35076,1.26464,1.62113,1.13349,1.32247,0.00111414,0.00111414,0.00111414
69,853.169,0.97223,1.14637,0.75091,1.06038,0.67696,0.67621,0.70734,0.40641,0.71204,0.65366,0.70156,0.35928,1.35039,1.54445,1.09571,1.25803,0.00110589,0.00110589,0.00110589
70,863.646,0.94262,1.12665,0.74129,1.0393,0.56685,0.74497,0.70488,0.41308,0.58596,0.75858,0.70881,0.35902,1.42214,1.68153,1.10699,1.39806,0.00109764,0.00109764,0.00109764
71,874.184,0.95628,1.18087,0.74826,1.03878,0.69346,0.66213,0.72936,0.39268,0.72343,0.69661,0.75188,0.3354,1.46252,1.79061,1.07445,1.47643,0.00108938,0.00108938,0.00108938
72,884.016,0.96986,1.20045,0.72293,1.03112,0.73216,0.58524,0.70442,0.41191,0.76813,0.63065,0.73314,0.35865,1.33546,1.66434,1.03519,1.41902,0.00108113,0.00108113,0.00108113
73,895.021,0.9287,1.17384,0.7288,1.04549,0.72899,0.60878,0.68621,0.38575,0.69763,0.66154,0.67167,0.34375,1.29131,1.58598,1.28258,1.39659,0.00107288,0.00107288,0.00107288
74,905.373,0.93429,1.13372,0.75439,1.03398,0.79775,0.59147,0.70162,0.38361,0.80723,0.62704,0.74422,0.36439,1.47213,1.58297,1.09917,1.48221,0.00106463,0.00106463,0.00106463
75,915.779,0.95452,1.22918,0.74236,1.04077,0.87871,0.58007,0.72825,0.39148,0.8891,0.58864,0.75733,0.37397,1.49638,1.53792,1.22051,1.46707,0.00105638,0.00105638,0.00105638
76,926.173,0.91379,1.13407,0.71331,1.02755,0.69065,0.74832,0.75682,0.44732,0.68729,0.74789,0.7652,0.38315,1.42045,1.48277,1.05447,1.38497,0.00104813,0.00104813,0.00104813
77,936.072,0.92623,1.16817,0.70828,1.04193,0.79719,0.6709,0.75493,0.43955,0.78976,0.6709,0.76322,0.38815,1.43006,1.63242,1.07693,1.3817,0.00103987,0.00103987,0.00103987
78,945.978,0.88078,1.07595,0.64969,1.02726,0.81765,0.63516,0.7438,0.46958,0.75196,0.71416,0.76976,0.38372,1.37655,1.75105,1.07149,1.30783,0.00103162,0.00103162,0.00103162
79,956.302,0.94568,1.12208,0.69365,1.03394,0.74817,0.72415,0.76637,0.46801,0.75643,0.7318,0.76022,0.38248,1.3845,1.71252,1.07521,1.3616,0.00102337,0.00102337,0.00102337
80,966.527,0.89466,1.1091,0.68545,1.01953,0.76105,0.70538,0.7812,0.45005,0.70501,0.67937,0.7099,0.35601,1.31964,1.70856,1.04422,1.3802,0.00101512,0.00101512,0.00101512
81,975.967,0.92866,1.14408,0.70816,1.03881,0.66091,0.711,0.75873,0.45279,0.70179,0.73049,0.73242,0.36017,1.36043,1.66705,1.17291,1.40141,0.00100687,0.00100687,0.00100687
82,986.445,0.88486,1.12236,0.69022,1.00647,0.73276,0.65336,0.73763,0.43444,0.72181,0.64459,0.72327,0.36347,1.33919,1.6334,1.10943,1.37314,0.000998616,0.000998616,0.000998616
83,996.883,0.89634,1.10567,0.66607,1.00576,0.70414,0.67028,0.72239,0.43711,0.71568,0.63123,0.74541,0.37436,1.29484,1.65605,1.08767,1.32423,0.000990365,0.000990365,0.000990365
84,1007.01,0.86788,1.02671,0.64103,1.00676,0.71376,0.63642,0.72992,0.46287,0.7765,0.61982,0.75205,0.38171,1.22622,1.75145,1.02168,1.32034,0.000982113,0.000982113,0.000982113
85,1017.37,0.89728,1.14389,0.66908,1.01506,0.76499,0.66153,0.72198,0.47383,0.78009,0.65809,0.75259,0.39272,1.1559,1.83712,0.98304,1.27529,0.000973861,0.000973861,0.000973861
86,1027.07,0.84669,1.10863,0.66267,0.99915,0.74557,0.65172,0.71252,0.44166,0.7657,0.66869,0.74593,0.37077,1.22983,1.7375,0.97371,1.28539,0.00096561,0.00096561,0.00096561
87,1037.5,0.87669,1.12548,0.65095,1.00967,0.64372,0.68814,0.69893,0.44457,0.68131,0.73109,0.76449,0.38379,1.13211,1.74274,0.94378,1.28214,0.000957358,0.000957358,0.000957358
88,1047.92,0.84885,1.11046,0.64858,0.99204,0.66164,0.66183,0.70114,0.42244,0.69997,0.70508,0.76019,0.39223,1.25388,1.70274,0.88706,1.3781,0.000949106,0.000949106,0.000949106
89,1058.33,0.8134,1.04155,0.62614,0.98395,0.68761,0.63785,0.69801,0.41518,0.73001,0.68419,0.75838,0.37359,1.30944,1.87439,0.96976,1.39196,0.000940855,0.000940855,0.000940855
